Name,City,Completion Year,Height (m),Height (ft),Floors,Material,Function
181 Fremont,San Francisco,2018,247,810,56,All-Steel,Residential / Office
4 Times Square,New York City,1999,247,809,48,All-Steel,Office
MetLife Building,New York City,1963,246,808,59,All-Steel,Office
Bloomberg Tower,New York City,2004,246,806,54,Concrete Over Steel,Residential / Office
Madison House,New York City,2022,245,805,56,All-Concrete,Residential
1000M,Chicago,2024,245,805,73,All-Concrete,Residential
The Centrale,New York City,2019,245,803,64,All-Concrete,Residential
BNY Mellon Bank Center,Philadelphia,1990,241,792,54,Concrete-Steel Composite,Office
Woolworth Building,New York City,1913,241,792,58,All-Steel,Residential / Office
IDS Center,Minneapolis,1973,241,792,55,Concrete-Steel Composite,Office
200 Clarendon,Boston,1976,241,790,62,All-Steel,Office
Four Seasons Hotel & Tower,Miami,2003,240,789,64,All-Concrete,Residential / Hotel / Office
111 Murray Street,New York City,2018,240,788,60,All-Concrete,Residential
Comerica Bank Tower,Dallas,1987,240,787,60,Concrete-Steel Composite,Office / Residential / Hotel
Duke Energy Center,Charlotte,2010,240,786,48,Concrete Over Steel,Office
300 North LaSalle,Chicago,2008,239,785,60,Concrete-Steel Composite,Office
30 Hudson Street,Jersey City,2004,238,781,42,All-Steel,Office
520 Park Avenue,New York City,2018,238,781,54,All-Concrete,Residential
