Name,City,Completion Year,Height (m),Height (ft),Floors,Material,Function
Hengyu Jinrong Center Block A,Shenzhen,2025,310,1017,66,Concrete-Steel Composite,Office
The One,Toronto,2028,309,1012,85,Concrete-Steel Composite,Residential / Hotel
Beyond Office Tower,Givatayim,2025,308,1011,72,N/A,Office
Nanshan Science and Technology Union Building,Shenzhen,2026,307,1008,67,N/A,Office
Cypress Palms Tower 1,Gold Coast,2027,305,1001,90,N/A,Residential
520 Fifth Avenue,New York City,2026,305,1000,76,All-Concrete,Residential / Office
Wynn Al Marjan Island Resort,Ras al Khaimah,2027,305,1000,N/A,N/A,Hotel / Casino
Suzhou ICC,Suzhou,2025,303,995,68,Concrete-Steel Composite,Residential / Office
Shimao Pingshan Center,Shenzhen,2026,302,991,62,N/A,Office
Concord Sky,Toronto,2027,300,985,85,N/A,Residential
Hangzhou West Railway Station Hub Tower B,Hangzhou,N/A,300,984,68,N/A,Hotel / Residential / Office
Greenland Bund Centre Tower 1,Shanghai,2025,300,984,64,Concrete-Steel Composite,Hotel / Office
Jiefangbei Book City,Chongqing,2025,300,984,63,All-Concrete,Hotel / Residential / Office / Retail
China Fortune Land Center,Guangzhou,N/A,300,984,N/A,All-Concrete,Office
8 Shenton Way Redevelopment,Singapore,2028,300,983,63,N/A,Residential / Hotel / Office
Yujiapu Yinglan International Finance Center,Tianjin,2025,299,982,63,Composite,Office
Dusit Central Park (Dusit Residences),Bangkok,2026,299,981,69,Concrete Over Steel,Residential / Retail
ToHa Tower 2,Tel Aviv,2025,298,978,76,All-Concrete,Office
Baietan International Financial Center,Guangzhou,2026,296,971,N/A,N/A,Office
Soontareeya,Bangkok,2025,295,969,64,All-Concrete,Residential / Hotel
Cavalli Tower,Dubai,2026,291,955,71,All-Concrete,Residential
Qianhai International Hub Tower 3,Shenzhen,2026,291,953,61,Composite,Office
Qianhai International Hub Tower 4,Shenzhen,2025,291,953,61,Composite,Office
Prestige Liberty North Tower,Mumbai,2030,290,951,63,All-Concrete,Office
Sumou Tower 2,Jeddah,2025,290,951,63,All-Concrete,Residential / Hotel
National Space Center,Moscow,2025,288,945,47,N/A,Office / Exhibition
